"id","no","province","district","village_name","latitude","longitude","area_square_meter","hectares","shape_length","population"
2538,16689,"Kabul","Paghman","Balasang","34.556140","68.977100","362.56430130","36256.43013000","0.83369093",22453
2544,7495,"Farah","Bakwa","Balbalak","32.180990","62.936410","2424.06803500","242406.80350000","2.34581603",14839
2550,4537,"Bamyan","Panjab","Baldarghangak","34.402770","66.883410","1895.78632700","189578.63270000","2.99211860",10583
2557,7293,"Daykundi","Shahristan","Baliband","33.757500","66.700290","1963.34655500","196334.65550000","2.89261492",32747
2587,18815,"Kandahar","Spin Boldak","Baloza'i","31.267310","66.656230","5644.20076100","564420.07610000","3.50349977",19791
2608,21400,"Logar","Kharwar","Balukhel","33.674590","68.887390","465.74214330","46574.21433000","1.21139717",14203
2617,4276,"Bamyan","Bamyan","Bamyan","34.821780","67.825020","1900.36246200","190036.24620000","2.26187725",26053
2627,28481,"Sari Pul","Sayyad","Band Jadid","36.089390","65.703430","1251.69484400","125169.48440000","1.81307456",2493
2637,10885,"Ghazni","Nawur","Bandali","34.061690","67.605400","5234.49395400","523449.39540000","4.13437227",20155
2642,23376,"Nangarhar","Acheen","Bandar Kholeh","34.068390","70.762970","451.01565850","45101.56585000","1.02199565",25204
2653,8520,"Faryab","Kohistan","Bandar-i-Abdulbaqi (3)","35.347790","64.578800","2254.04470700","225404.47070000","2.94355907",16094
2662,15462,"Hirat","Obe","Bande Benaws","34.372610","63.205140","2634.48798300","263448.79830000","2.76860400",2666
2673,27378,"Parwan","Surkhi Parsa","Bande Myanagi","34.775590","68.376910","1164.35200300","116435.20030000","1.84946439",47396
2685,27755,"Samangan","Dara-I-Sufi Payin","Band-i-Sareg","36.103600","67.326470","1707.98749800","170798.74980000","2.59041170",41949
2694,16896,"Kabul","Surobi","Bandul","34.607890","69.743100","1251.45297200","125145.29720000","2.31110126",9429
2716,20218,"Kunar","Narang","Bango Obeh","34.776300","70.926090","195.14910750","19514.91075000","0.65953505",31331
2731,17158,"Kandahar","Arghistan","Banukhel","31.565000","66.723190","3908.88030100","390888.03010000","3.54865906",42235
2742,11094,"Ghazni","Qarabagh","Bar Adinkhel","33.132690","67.933630","1570.02690400","157002.69040000","2.02625370",12787
2745,20190,"Kunar","Khas Kunar","Bar Aradzi","34.657700","70.884490","365.88482180","36588.48218000","1.01811128",46602
2755,23942,"Nangarhar","Khogayani","Bar Bangasher","34.405730","70.088070","655.00831890","65500.83189000","1.61419339",32327
2766,20335,"Kunar","Shaygal wa shital","Bar Galay","35.069800","71.224190","435.48804810","43548.80481000","1.08503063",43659
2774,9657,"Ghazni","Giro","Bar Kala","32.960690","68.268600","866.79378510","86679.37851000","1.51072877",5372
